[2026-05-02 08:26:07] [INFO] Payment processing started for request: {"student_id":"1704","amount":"98980","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment validation passed for student 1704. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Database transaction started for student 1704 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Generating receipt number - Student: 1704, Fee Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment record created: ID 2806, Receipt: 95, Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Synchronized tbl_student_fee_allocation for student 1704 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Generating receipt number - Student: 1704, Fee Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment record created: ID 2807, Receipt: 116, Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Synchronized tbl_student_fee_allocation for student 1704 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Generating receipt number - Student: 1704, Fee Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment record created: ID 2808, Receipt: 116, Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Synchronized tbl_student_fee_allocation for student 1704 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment transaction log created for payment ID: 2806 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:26:07] [INFO] Payment transaction committed successfully for student 1704. Receipt No: 95, 116, 116 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Payment processing started for request: {"student_id":"1947","amount":"95440","payment_mode":"cash"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Payment validation passed for student 1947. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Database transaction started for student 1947 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Generating receipt number - Student: 1947, Fee Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Payment record created: ID 2809, Receipt: 96, Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Synchronized tbl_student_fee_allocation for student 1947 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Generating receipt number - Student: 1947, Fee Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-02 08:32:43] [INFO] Payment record created: ID 2810, Receipt: 117, Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
